sku,old_name,new_name
F286797,"10" Fuchsia Gift Bow - 100/pk 20bx/cs cs.20","10" Fuchsia Gift Bow - 20/pk 100bx/cs cs.100"
F286801,"10" Gold Gift Bow - 100/pk 20bx/cs cs.20","10" Gold Gift Bow - 20/pk 100bx/cs cs.100"
F286798,"10" Pink GIft Bow - 100/pk 20bx/cs cs.20","10" Pink GIft Bow - 20/pk 100bx/cs cs.100"
F286796,"10" Red GIft Bow - 100/pk 20bx/cs cs.20","10" Red GIft Bow - 20/pk 100bx/cs cs.100"
F286802,"10" Royal Blue Gift Bow - 100/pk 20bx/cs cs.20","10" Royal Blue Gift Bow - 20/pk 100bx/cs cs.100"
F286800,"10" Silver Gift Bow - 100/pk 20bx/cs cs.20","10" Silver Gift Bow - 20/pk 100bx/cs cs.100"
F286803,"10" Sky Blue GIft Bow - 100/pk 20bx/cs cs.20","10" Sky Blue GIft Bow - 20/pk 100bx/cs cs.100"
F286799,"10" White Gift Bow - 100/pk 20bx/cs cs.20","10" White Gift Bow - 20/pk 100bx/cs cs.100"
